record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
UCRS011,wear_log,10,,,0,1,,,"2025-07-09 08:34",,,,,,,,,,,,,,,,,DB5F46E0-5CD1-11F0-8690-09009DE70D4E,"2025-07-09 08:34:44","2025-07-09 08:34:59",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-09 08:35:00"",    ""utcTime"": ""2025-07-09 14:34:44.686139Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,11,,,0,0,"2025-07-09 12:20",2,,,,0,"sobre la cama",1,,,,,,,,,,,,5A46D2B0-5CF1-11F0-BA0F-EBE39B162E19,"2025-07-09 12:20:11","2025-07-09 12:20:51",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-09 12:20:52"",    ""utcTime"": ""2025-07-09 18:20:11.995105Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS011,wear_log,12,,,0,0,"2025-07-09 16:13",0,,,,0,"en el bulto",1,,,,,,,,,,,,EA718220-5D11-11F0-9545-A5401C3FBB10,"2025-07-09 16:13:17","2025-07-09 16:14:01",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-09 16:14:02"",    ""utcTime"": ""2025-07-09 22:13:17.762686Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS011,wear_log,13,,,0,1,,,"2025-07-09 17:32",,,,,,,,,,,,,,,,,F05EAF90-5D1C-11F0-B96D-7B4367169DF0,"2025-07-09 17:32:12","2025-07-09 17:32:24",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-09 17:32:24"",    ""utcTime"": ""2025-07-09 23:32:12.169743Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,14,,,0,0,"2025-07-09 21:29",4,,,,1,,1,,,,,,,,,,,,0064FFE0-5D3E-11F0-ACAA-E5D2EF53242D,"2025-07-09 21:28:52","2025-07-09 21:29:32",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-09 21:29:33"",    ""utcTime"": ""2025-07-10 03:28:52.446496Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS011,wear_log,15,,,0,1,,,"2025-07-10 09:13",,,,,,,,,,,,,,,,,5CA47E40-5DA0-11F0-AC90-6D6A59E791F7,"2025-07-10 09:12:57","2025-07-10 09:13:13",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-10 09:13:13"",    ""utcTime"": ""2025-07-10 15:12:57.892547Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,16,,,0,0,"2025-07-10 12:30",2,,,,0,"sobre la cómoda ",1,,,,,,,,,,,,FD4A2E10-5DBB-11F0-A73F-83509E9044CE,"2025-07-10 12:30:43","2025-07-10 12:31:15",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-10 12:31:16"",    ""utcTime"": ""2025-07-10 18:30:43.825250Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS011,wear_log,17,,,0,1,,,"2025-07-10 12:55",,,,,,,,,,,,,,,,,6CEEC750-5DBF-11F0-ABCA-219D05135300,"2025-07-10 12:55:19","2025-07-10 12:55:41",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-10 12:55:41"",    ""utcTime"": ""2025-07-10 18:55:19.620914Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,18,,,0,0,"2025-07-10 22:04",4,,,,1,,1,,,,,,,,,,,,2CA2A340-5E0C-11F0-B3D1-9DA851806D13,"2025-07-10 22:04:42","2025-07-10 22:05:13",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-10 22:05:13"",    ""utcTime"": ""2025-07-11 04:04:42.996791Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS011,wear_log,19,,,0,1,,,"2025-07-11 09:37",,,,,,,,,,,,,,,,,F4D05BE0-5E6C-11F0-B38D-E130285746CC,"2025-07-11 09:37:30","2025-07-11 09:37:47",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-11 09:37:48"",    ""utcTime"": ""2025-07-11 15:37:30.526375Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,20,,,0,1,,,"2025-07-11 15:00",,,,,,,,,,,,,,,,,1B1B8BD0-5E9A-11F0-A248-07064EE91152,"2025-07-11 15:00:42","2025-07-11 15:00:58",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-11 15:00:58"",    ""utcTime"": ""2025-07-11 21:00:42.125780Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS011,wear_log,21,,,1,,,,,,,,,,2,0,,,"2025-07-11 13:45",,,,,,,266A7190-5E9A-11F0-A248-07064EE91152,"2025-07-11 15:01:01","2025-07-11 15:01:42",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-11 15:01:43"",    ""utcTime"": ""2025-07-11 21:01:01.097492Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS011,wear_log,22,,,0,1,,,"2025-07-11 19:03",,,,,,,,,,,,,,,,,F0288CD0-5EBB-11F0-B91D-9F4E5CB59CA2,"2025-07-11 19:02:52","2025-07-11 19:03:08",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-07-11 19:03:08"",    ""utcTime"": ""2025-07-12 01:02:52.957836Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,5"",    ""percentComplete"": ""15""  }",result.zip,0
