record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,registro_de_uso_timestamp,wearlog_type_v2,wearlog_event_v2,wearlog_off_v2,reason_v2,wearlog_on_v2,wearlog_bed_v2,radius_v2,wearlog_bag_v2,wearlog_place_v2,wearlog_motion_v2,wearlog_past_v2,wearlog_bp_v2,wearlog_past_off_v2,wearlog_past_on_v2,wearlog_past_sleep_v2,radius_past_time_v2,radius_past_v2,radius_past_back_v2,wearlog_past_bag_v2,wearlog_past_location_v2,wearlog_past_motion_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,registro_de_uso_complete
UCRS005,registro_de_uso,10,,,0,1,,,"2025-06-25 08:28",,,,,,,,,,,,,,,,,A859CBF0-51D0-11F0-AF38-813484E3C140,"2025-06-25 08:28:26","2025-06-25 08:29:03",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-25 08:29:03"",    ""utcTime"": ""2025-06-25 14:28:26.797740Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,11,,,0,2,"2025-06-26 03:31",4,,"2025-06-26 03:31",,0,"a la par de mi cama",,,,,,,,,,,,,54E53E50-5270-11F0-B460-91B9B5167A3B,"2025-06-26 03:31:26","2025-06-26 03:32:30",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-26 03:32:30"",    ""utcTime"": ""2025-06-26 09:31:26.261117Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS005,registro_de_uso,12,,,0,0,"2025-06-26 08:21",2,,,,1,,0,,,,,,,,,,,,CE96C7A0-5298-11F0-8A7D-39AE5CB39FA4,"2025-06-26 08:21:10","2025-06-26 08:22:00",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-26 08:22:01"",    ""utcTime"": ""2025-06-26 14:21:10.298516Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,13,,,0,0,"2025-06-26 22:52",2,,,,1,,0,,,,,,,,,,,,7E800040-5312-11F0-9F29-51BED91CF0C3,"2025-06-26 22:52:14","2025-06-26 22:53:16",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-26 22:53:17"",    ""utcTime"": ""2025-06-27 04:52:14.532049Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,14,,,0,1,,,"2025-06-26 23:10",,,,,,,,,,,,,,,,,0E6082F0-5315-11F0-9F29-51BED91CF0C3,"2025-06-26 23:10:34","2025-06-26 23:10:58",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-26 23:10:59"",    ""utcTime"": ""2025-06-27 05:10:34.911671Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,15,,,0,2,,,,"2025-06-26 23:14",,,,,,,,,,,,,,,,7DB751B0-5315-11F0-AA64-1381247CE03C,"2025-06-26 23:13:41","2025-06-26 23:14:10",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-26 23:14:10"",    ""utcTime"": ""2025-06-27 05:13:41.707520Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,16,,,0,1,,,"2025-06-27 08:40",,,,,,,,,,,,,,,,,AA87D8F0-5364-11F0-8FCE-A1F09D3292AB,"2025-06-27 08:40:27","2025-06-27 08:41:05",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-27 08:41:05"",    ""utcTime"": ""2025-06-27 14:40:27.135490Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,17,,,0,0,"2025-06-27 12:28",2,,,,1,,0,,,,,,,,,,,,74CB62C0-5384-11F0-A0D2-13991891CD3A,"2025-06-27 12:28:00","2025-06-27 12:29:10",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-27 12:29:10"",    ""utcTime"": ""2025-06-27 18:28:00.876679Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,18,,,0,1,,,"2025-06-27 13:10",,,,,,,,,,,,,,,,,66252CF0-538A-11F0-A0D2-13991891CD3A,"2025-06-27 13:10:33","2025-06-27 13:10:52",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-27 13:10:53"",    ""utcTime"": ""2025-06-27 19:10:33.279290Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,19,,,0,0,"2025-06-27 19:47",1,,,,1,,0,,,,,,,,,,,,C7F9B630-53C1-11F0-98DD-D78CF6DCBB31,"2025-06-27 19:46:59","2025-06-27 19:47:36",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-27 19:47:36"",    ""utcTime"": ""2025-06-28 01:46:59.731238Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,20,,,0,1,,,"2025-06-27 23:48",,,,,,,,,,,,,,,,,7FA24D30-53E3-11F0-8B21-FBCDC838285C,"2025-06-27 23:48:21","2025-06-27 23:48:38",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-27 23:48:38"",    ""utcTime"": ""2025-06-28 05:48:21.251737Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,21,,,0,2,,,,"2025-06-27 23:49",,,,,,,,,,,,,,,,96CFD590-53E3-11F0-8B21-FBCDC838285C,"2025-06-27 23:49:00","2025-06-27 23:49:22",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-27 23:49:22"",    ""utcTime"": ""2025-06-28 05:49:00.137371Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,22,,,0,1,,,"2025-06-28 08:01",,,,,,,,,,,,,,,,,48A715A0-5428-11F0-8B21-FBCDC838285C,"2025-06-28 08:00:44","2025-06-28 08:01:10",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-28 08:01:11"",    ""utcTime"": ""2025-06-28 14:00:44.282521Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,23,,,0,0,"2025-06-28 10:21",1,,,,1,,0,,,,,,,,,,,,FC10F9E0-543B-11F0-8677-C31C40F6B3AE,"2025-06-28 10:21:45","2025-06-28 10:22:42",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-28 10:22:43"",    ""utcTime"": ""2025-06-28 16:21:45.726766Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,24,,,0,1,,,"2025-06-28 19:56",,,,,,,,,,,,,,,,,38455D70-548C-11F0-AD62-9B2BDD8DACC3,"2025-06-28 19:56:06","2025-06-28 19:56:18",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-28 19:56:19"",    ""utcTime"": ""2025-06-29 01:56:06.471329Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,25,,,0,2,"2025-06-28 22:29",,,"2025-06-28 22:29",,,,,,,,,,,,,,,,93D987A0-54A1-11F0-8D75-4DEE2AB8B3C4,"2025-06-28 22:28:59","2025-06-28 22:29:34",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-28 22:29:35"",    ""utcTime"": ""2025-06-29 04:28:59.546179Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS005,registro_de_uso,26,,,0,0,"2025-06-29 08:39",2,,,,1,,0,,,,,,,,,,,,CB8BCC30-54F6-11F0-AD61-A5F334E97996,"2025-06-29 08:39:00","2025-06-29 08:39:18",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-29 08:39:18"",    ""utcTime"": ""2025-06-29 14:39:00.211275Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS005,registro_de_uso,27,,,1,,,,,,,,,,1,0,,"2025-06-29 09:00",,,,,,,,5A3067F0-5503-11F0-AD61-A5F334E97996,"2025-06-29 10:08:53","2025-06-29 10:09:28",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-29 10:09:28"",    ""utcTime"": ""2025-06-29 16:08:53.486994Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS005,registro_de_uso,28,,,0,1,,,"2025-06-29 17:29",,,,,,,,,,,,,,,,,E4F7D340-5540-11F0-AD61-A5F334E97996,"2025-06-29 17:29:25","2025-06-29 17:29:46",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-29 17:29:46"",    ""utcTime"": ""2025-06-29 23:29:25.620139Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,29,,,0,2,,,,"2025-06-29 23:04",,,,,,,,,,,,,,,,ABFA16F0-556F-11F0-95D5-69CEB253FDDA,"2025-06-29 23:04:16","2025-06-29 23:04:50",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-29 23:04:50"",    ""utcTime"": ""2025-06-30 05:04:16.350928Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,30,,,0,1,,,"2025-06-30 06:03",,,,,,,,,,,,,,,,,4874A290-55AA-11F0-95D5-69CEB253FDDA,"2025-06-30 06:03:49","2025-06-30 06:04:10",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.6.1"",    ""syncdate"": ""2025-06-30 06:04:11"",    ""utcTime"": ""2025-06-30 12:03:49.689088Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,2"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS005,registro_de_uso,31,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2
