record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,registro_de_uso_timestamp,wearlog_type_v2,wearlog_event_v2,wearlog_off_v2,reason_v2,wearlog_on_v2,wearlog_bed_v2,radius_v2,wearlog_bag_v2,wearlog_place_v2,wearlog_motion_v2,wearlog_past_v2,wearlog_bp_v2,wearlog_past_off_v2,wearlog_past_on_v2,wearlog_past_sleep_v2,radius_past_time_v2,radius_past_v2,radius_past_back_v2,wearlog_past_bag_v2,wearlog_past_location_v2,wearlog_past_motion_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,registro_de_uso_complete
UCRS004,registro_de_uso,10,,,0,0,"2025-06-25 12:40",3,,,,1,,0,,,,,,,,,,,,CA6DC660-51F3-11F0-88A3-135C8547DEFC,"2025-06-25 12:39:56","2025-06-25 12:41:13",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-25 12:41:14"",    ""utcTime"": ""2025-06-25 18:39:56.357326Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,11,,,0,1,,,"2025-06-25 13:42",,,,,,,,,,,,,,,,,7A791750-51FC-11F0-88A3-135C8547DEFC,"2025-06-25 13:42:07","2025-06-25 13:42:18",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-25 13:42:19"",    ""utcTime"": ""2025-06-25 19:42:07.684578Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,12,,,1,,,,,,,,,,0,1,"2025-06-25 18:30",,,,,,1,,1,AA7FFA20-523A-11F0-88A3-135C8547DEFC,"2025-06-25 21:07:17","2025-06-25 21:07:41",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-25 21:07:41"",    ""utcTime"": ""2025-06-26 03:07:17.058621Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,13,,,0,1,,,"2025-06-25 21:07",,,,,,,,,,,,,,,,,B9992E50-523A-11F0-88A3-135C8547DEFC,"2025-06-25 21:07:42","2025-06-25 21:07:53",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-25 21:07:54"",    ""utcTime"": ""2025-06-26 03:07:42.389929Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.4"",    ""buildnumber"": ""178"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,14,,,0,0,"2025-06-26 06:08",2,,,,1,,1,,,,,,,,,,,,3914DFD0-5286-11F0-B569-D9273270963A,"2025-06-26 06:08:08","2025-06-26 06:09:17",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-26 06:09:18"",    ""utcTime"": ""2025-06-26 12:08:08.525543Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,15,,,0,2,,,,"2025-06-26 06:43",,,,,,,,,,,,,,,,291773E0-528B-11F0-B569-D9273270963A,"2025-06-26 06:43:29","2025-06-26 06:43:47",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-26 06:43:47"",    ""utcTime"": ""2025-06-26 12:43:29.182768Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,16,,,1,,,,,,,,,,1,1,,"2025-06-26 10:20",,,,,,,,F838EFF0-52B3-11F0-B569-D9273270963A,"2025-06-26 11:35:36","2025-06-26 11:36:32",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-26 11:36:32"",    ""utcTime"": ""2025-06-26 17:35:36.559531Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS004,registro_de_uso,17,,,0,0,"2025-06-27 06:49",2,,,,1,,0,,,,,,,,,,,,2CDAAEA0-5355-11F0-A3A5-8BB1FAE83E3D,"2025-06-27 06:49:33","2025-06-27 06:50:53",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-27 11:09:53.996924"",    ""utcTime"": ""2025-06-27 12:49:33.834720Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,18,,,1,,,,,,,,,,1,0,,"2025-06-27 06:50",,,,,,,,62BB7D70-537C-11F0-91BF-1F55324A8D25,"2025-06-27 11:30:14","2025-06-27 11:30:40",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-27 11:30:41"",    ""utcTime"": ""2025-06-27 17:30:14.599108Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS004,registro_de_uso,19,,,0,0,"2025-06-27 11:30",3,,,,1,,0,,,,,,,,,,,,72DAAFF0-537C-11F0-91BF-1F55324A8D25,"2025-06-27 11:30:41","2025-06-27 11:31:45",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-27 11:31:46"",    ""utcTime"": ""2025-06-27 17:30:41.647507Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,20,,,0,1,,,"2025-06-27 13:41",,,,,,,,,,,,,,,,,C7BAB990-538E-11F0-91BF-1F55324A8D25,"2025-06-27 13:41:54","2025-06-27 13:42:04",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-27 13:42:04"",    ""utcTime"": ""2025-06-27 19:41:54.984464Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,21,,,0,1,,,"2025-06-28 10:15",,,,,,,,,,,,,,,,,3535BAD0-543C-11F0-A07F-1B7EFAFF07EE,"2025-06-28 10:23:21","2025-06-28 10:23:38",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-28 10:23:39"",    ""utcTime"": ""2025-06-28 16:23:21.597772Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,22,,,0,0,"2025-06-28 13:04",3,,,,1,,0,,,,,,,,,,,,AEAEFB40-5452-11F0-A07F-1B7EFAFF07EE,"2025-06-28 13:04:14","2025-06-28 13:04:41",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-28 14:08:28.590056"",    ""utcTime"": ""2025-06-28 19:04:14.324077Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""29""  }",result.zip,0
UCRS004,registro_de_uso,23,,,0,1,,,"2025-06-28 14:09",,,,,,,,,,,,,,,,,D7458520-545B-11F0-A07F-1B7EFAFF07EE,"2025-06-28 14:09:47","2025-06-28 14:09:58",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-28 14:09:59"",    ""utcTime"": ""2025-06-28 20:09:47.890546Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,24,,,0,1,,,"2025-06-28 17:38",,,,,,,,,,,,,,,,,B06A86C0-547A-11F0-8603-5B55058925BD,"2025-06-28 17:50:37","2025-06-28 17:50:54",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-28 17:50:54"",    ""utcTime"": ""2025-06-28 23:50:37.100267Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,25,,,1,,,,,,,,,,1,0,,"2025-06-29 16:04",,,,,,,,94318910-5559-11F0-A042-6DD9E0C73798,"2025-06-29 20:26:07","2025-06-29 20:26:32",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-29 20:26:32"",    ""utcTime"": ""2025-06-30 02:26:07.521594Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS004,registro_de_uso,26,,,0,2,,,,"2025-06-29 23:01",,,,,,,,,,,,,,,,46D217F0-556F-11F0-B556-D5A13A21B0CA,"2025-06-29 23:01:26","2025-06-29 23:01:41",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-29 23:01:41"",    ""utcTime"": ""2025-06-30 05:01:26.638111Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS004,registro_de_uso,27,,,1,,,,,,,,,,1,0,,"2025-06-30 07:50",,,,,,,,BFAB4930-55C4-11F0-9E34-C316E8462209,"2025-06-30 09:13:16","2025-06-30 09:13:59",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-30 09:14:00"",    ""utcTime"": ""2025-06-30 15:13:16.611143Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""20""  }",result.zip,0
UCRS004,registro_de_uso,28,,,0,6,,,,,,,,,,,,,,,,,,,,DDA3DCE0-55C4-11F0-9E34-C316E8462209,"2025-06-30 09:14:06","2025-06-30 09:14:28",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.5"",    ""syncdate"": ""2025-06-30 09:14:29"",    ""utcTime"": ""2025-06-30 15:14:06.894445Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""10""  }",result.zip,0
