record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,diario_de_exposicion_a_la_luz_timestamp,mhla_confirm_v2,mhlea_confidence_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,diario_de_exposicion_a_la_luz_complete
UCRS039,,,,,,,,,,,,,,
UCRS039,diario_de_exposicion_a_la_luz,1,,,1,4,D96AE210-82FE-11F0-9A14-2D32642C2E3B,"2025-08-26 22:32:32","2025-08-26 22:33:01",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-08-26 22:33:02"",    ""utcTime"": ""2025-08-27 04:32:32.944476Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS039,diario_de_exposicion_a_la_luz,2,,,1,5,BACF5460-83BE-11F0-9A14-2D32642C2E3B,"2025-08-27 21:26:04","2025-08-27 21:26:28",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-08-27 21:26:28"",    ""utcTime"": ""2025-08-28 03:26:04.966644Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS039,diario_de_exposicion_a_la_luz,3,,,1,4,9065EF20-848D-11F0-9A14-2D32642C2E3B,"2025-08-28 22:06:39","2025-08-28 22:06:48",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-08-28 22:06:49"",    ""utcTime"": ""2025-08-29 04:06:39.634416Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS039,diario_de_exposicion_a_la_luz,4,,,1,4,D009D9B0-855B-11F0-A539-4BCBD5EF325D,"2025-08-29 22:43:02","2025-08-29 22:43:12",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-08-29 22:43:13"",    ""utcTime"": ""2025-08-30 04:43:02.731333Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS039,diario_de_exposicion_a_la_luz,5,,,1,4,3271C6E0-8623-11F0-A897-C5AE0120F80C,"2025-08-30 22:30:17","2025-08-30 22:30:26",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-08-30 22:30:26"",    ""utcTime"": ""2025-08-31 04:30:17.678443Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS039,diario_de_exposicion_a_la_luz,6,,,1,5,A12DA330-86E9-11F0-A434-85C42315B353,"2025-08-31 22:10:43","2025-08-31 22:10:53",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-08-31 22:10:54"",    ""utcTime"": ""2025-09-01 04:10:43.811599Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS039,diario_de_exposicion_a_la_luz,7,,,1,4,E7B3FA00-87A9-11F0-83CB-C97DD483F117,"2025-09-01 21:07:05","2025-09-01 21:07:54",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-09-01 21:07:55"",    ""utcTime"": ""2025-09-02 03:07:05.503243Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,1"",    ""percentComplete"": ""100""  }",result.zip,0
