record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
"UCRS008,wear_log,12,,,0,2,,,,""2025-07-01 23:52"",,,,,,,,,,,,,,,,B5FB3720-5708-11F0-9052-D9D257879A66,""2025-07-01 23:52:17"",""2025-07-01 23:52:31"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-01 23:52:31"""",    """"utcTime"""": """"2025-07-02 05:52:17.297983Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,13,,,0,1,,,""2025-07-02 06:40"",,,,,,,,,,,,,,,,,26E5AE50-5742-11F0-AED1-1527C400B649,""2025-07-02 06:43:28"",""2025-07-02 06:43:43"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-02 06:43:44"""",    """"utcTime"""": """"2025-07-02 12:43:28.053285Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,14,,,0,0,""2025-07-02 07:03"",0,,,,0,""cajón "",1,,,,,,,,,,,,E82F1E00-5744-11F0-AED1-1527C400B649,""2025-07-02 07:03:11"",""2025-07-02 07:03:53"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-02 07:03:54"""",    """"utcTime"""": """"2025-07-02 13:03:11.328048Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,15,,,0,1,,,""2025-07-02 09:18"",,,,,,,,,,,,,,,,,D8F56EE0-5757-11F0-AED1-1527C400B649,""2025-07-02 09:18:46"",""2025-07-02 09:19:00"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-02 09:19:01"""",    """"utcTime"""": """"2025-07-02 15:18:46.222500Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,16,,,0,0,""2025-07-02 10:23"",2,,,,0,mesa,1,,,,,,,,,,,,EC8D8560-5760-11F0-AED1-1527C400B649,""2025-07-02 10:23:44"",""2025-07-02 10:24:21"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-02 10:24:21"""",    """"utcTime"""": """"2025-07-02 16:23:44.566290Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,17,,,0,1,,,""2025-07-02 10:54"",,,,,,,,,,,,,,,,,2FC3F450-5765-11F0-AED1-1527C400B649,""2025-07-02 10:54:15"",""2025-07-02 10:54:27"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-02 10:54:28"""",    """"utcTime"""": """"2025-07-02 16:54:15.317963Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,18,,,0,1,,,""2025-07-03 07:08"",,,,,,,,,,,,,,,,,BEEC9ED0-580E-11F0-9FD6-F18B77B2C390,""2025-07-03 07:08:00"",""2025-07-03 07:08:18"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-03 07:08:18"""",    """"utcTime"""": """"2025-07-03 13:08:00.445762Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,19,,,0,0,""2025-07-03 07:36"",0,,,,0,locker,1,,,,,,,,,,,,C2D61130-5812-11F0-9FD6-F18B77B2C390,""2025-07-03 07:36:44"",""2025-07-03 07:37:09"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-03 07:37:10"""",    """"utcTime"""": """"2025-07-03 13:36:44.995760Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS008,wear_log,20,,,0,1,,,""2025-07-03 10:01"",,,,,,,,,,,,,,,,,E91B7E20-5826-11F0-B189-8F8769F7BF8A,""2025-07-03 10:00:59"",""2025-07-03 10:01:11"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-03 10:01:11"""",    """"utcTime"""": """"2025-07-03 16:00:59.138262Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS008,wear_log,21,,,0,0,""2025-07-03 11:08"",2,,,,0,mesa,1,,,,,,,,,,,,54569400-5830-11F0-A780-DB6F8E2EA3E9,""2025-07-03 11:08:24"",""2025-07-03 11:08:46"",,1,""{    """"devicemanufacturer"""": """"Xiaomi"""",    """"deviceplatform"""": """"Android"""",    """"deviceversion"""": """"13"""",    """"syncdate"""": """"2025-07-03 11:08:47"""",    """"utcTime"""": """"2025-07-03 17:08:24.512321Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"2201117SL"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
