record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,diario_de_exposicion_a_la_luz_timestamp,mhla_confirm_v2,mhlea_confidence_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,diario_de_exposicion_a_la_luz_complete
UCRS013,,,,,,,,,,,,,,
UCRS013,diario_de_exposicion_a_la_luz,1,,,1,4,63B58310-5BBA-11F0-85F5-8D489F0B0A3B,"2025-07-07 23:14:14","2025-07-07 23:14:26",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-07-07 23:14:27"",    ""utcTime"": ""2025-07-08 05:14:14.337107Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,8"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS013,diario_de_exposicion_a_la_luz,2,,,1,5,8C4BE2A0-5C83-11F0-8112-8545EFA0AC9E,"2025-07-08 23:14:11","2025-07-08 23:14:20",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-07-08 23:14:20"",    ""utcTime"": ""2025-07-09 05:14:11.274435Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,8"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS013,diario_de_exposicion_a_la_luz,3,,,1,4,785ECD40-5D49-11F0-ACD8-9B7A7DDE976E,"2025-07-09 22:50:58","2025-07-09 22:51:07",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-07-09 22:51:08"",    ""utcTime"": ""2025-07-10 04:50:58.196202Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,8"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS013,diario_de_exposicion_a_la_luz,4,,,1,5,4491AA10-5E10-11F0-8069-01A22F20C844,"2025-07-10 22:34:01","2025-07-10 22:34:14",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-07-10 22:34:14"",    ""utcTime"": ""2025-07-11 04:34:01.137207Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,8"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS013,diario_de_exposicion_a_la_luz,5,,,1,5,BFCAE050-5FA2-11F0-A12D-43319CC7B24C,"2025-07-12 22:35:05","2025-07-12 22:35:13",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-07-12 22:35:14"",    ""utcTime"": ""2025-07-13 04:35:05.557115Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,8"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS013,diario_de_exposicion_a_la_luz,6,,,1,5,18A61B10-6073-11F0-AD2F-E1EAA17E588C,"2025-07-13 23:26:29","2025-07-13 23:26:41",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""17.2.1"",    ""syncdate"": ""2025-07-13 23:26:41"",    ""utcTime"": ""2025-07-14 05:26:29.953684Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""2"",    ""devicemodel"": ""iPhone12,8"",    ""percentComplete"": ""100""  }",result.zip,0
