record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
"UCRS007,wear_log,12,,,0,2,,,,""2025-07-03 23:57"",,,,,,,,,,,,,,,,AFD62EB0-589B-11F0-A54C-8D513E1B31ED,""2025-07-03 23:56:54"",""2025-07-03 23:57:15"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-03 23:57:16"""",    """"utcTime"""": """"2025-07-04 05:56:54.171691Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,13,,,0,0,""2025-07-04 08:41"",2,,,,0,""mueble tv "",1,,,,,,,,,,,,E2D91270-58E4-11F0-8268-2D08F0B346DC,""2025-07-04 08:40:53"",""2025-07-04 08:41:39"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-04 08:41:40"""",    """"utcTime"""": """"2025-07-04 14:40:53.015613Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS007,wear_log,14,,,0,1,,,""2025-07-04 09:06"",,,,,,,,,,,,,,,,,7768A8D0-58E8-11F0-AE18-FDCC24A7759B,""2025-07-04 09:06:30"",""2025-07-04 09:06:45"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-04 09:06:45"""",    """"utcTime"""": """"2025-07-04 15:06:30.749013Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,15,,,0,2,,,,""2025-07-05 01:53"",,,,,,,,,,,,,,,,0DB92AD0-5975-11F0-BBE5-998EEFB6349C,""2025-07-05 01:52:52"",""2025-07-05 01:53:08"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-05 01:53:09"""",    """"utcTime"""": """"2025-07-05 07:52:52.477129Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,16,,,0,1,,,""2025-07-05 11:45"",,,,,,,,,,,,,,,,,5F7E7660-59C8-11F0-9657-F1F22E876323,""2025-07-05 11:49:17"",""2025-07-05 11:49:34"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-05 11:49:34"""",    """"utcTime"""": """"2025-07-05 17:49:17.894097Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,17,,,0,0,""2025-07-05 23:27"",2,,,,0,""mueble tv"",1,,,,,,,,,,,,EA037720-5A29-11F0-890C-DD48F60FFBF0,""2025-07-05 23:27:31"",""2025-07-05 23:28:06"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-05 23:28:06"""",    """"utcTime"""": """"2025-07-06 05:27:31.474749Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS007,wear_log,18,,,0,1,,,""2025-07-05 23:44"",,,,,,,,,,,,,,,,,49C8E990-5A2C-11F0-8588-9338F3E3F615,""2025-07-05 23:44:31"",""2025-07-05 23:44:45"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-05 23:44:45"""",    """"utcTime"""": """"2025-07-06 05:44:31.145127Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,19,,,0,2,,,,""2025-07-05 23:48"",,,,,,,,,,,,,,,,CB25AC30-5A2C-11F0-8FCD-95B6D9928363,""2025-07-05 23:48:08"",""2025-07-05 23:48:26"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-05 23:48:26"""",    """"utcTime"""": """"2025-07-06 05:48:08.179354Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,20,,,0,1,,,""2025-07-06 09:43"",,,,,,,,,,,,,,,,,FBDB8720-5A7F-11F0-A5C7-0F6F14F5AFA7,""2025-07-06 09:43:38"",""2025-07-06 09:43:51"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-06 09:43:51"""",    """"utcTime"""": """"2025-07-06 15:43:38.130422Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,21,,,0,0,""2025-07-06 20:22"",2,,,,0,""mesa de noche "",1,,,,,,,,,,,,31DD11A0-5AD9-11F0-88B3-071F19694F6B,""2025-07-06 20:22:13"",""2025-07-06 20:22:50"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-06 20:22:50"""",    """"utcTime"""": """"2025-07-07 02:22:13.946430Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS007,wear_log,22,,,0,1,,,""2025-07-06 20:41"",,,,,,,,,,,,,,,,,F1489990-5ADB-11F0-808E-8BFD63B4D04A,""2025-07-06 20:41:54"",""2025-07-06 20:42:05"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-06 20:42:05"""",    """"utcTime"""": """"2025-07-07 02:41:54.088927Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,23,,,0,2,,,,""2025-07-07 00:08"",,,,,,,,,,,,,,,,B9C378B0-5AF8-11F0-BF39-73F36C34F61D,""2025-07-07 00:07:56"",""2025-07-07 00:08:13"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-07 00:08:14"""",    """"utcTime"""": """"2025-07-07 06:07:56.347528Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"15""""  }"",result.zip,0"
"UCRS007,wear_log,24,,,0,0,""2025-07-07 08:03"",2,,,,0,""en la mesa de noche "",1,,,,,,,,,,,,25ACE010-5B3B-11F0-B301-A9715503A0BF,""2025-07-07 08:03:24"",""2025-07-07 08:04:39"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-07 08:04:39"""",    """"utcTime"""": """"2025-07-07 14:03:24.177005Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"34""""  }"",result.zip,0"
"UCRS007,wear_log,25,,,0,6,,,,,,,,,,,,,,,,,,,,4ED61790-5B45-11F0-811A-9352ECA2266B,""2025-07-07 09:16:08"",""2025-07-07 09:16:18"",,1,""{    """"devicemanufacturer"""": """"Apple"""",    """"deviceplatform"""": """"iOS"""",    """"deviceversion"""": """"18.1.1"""",    """"syncdate"""": """"2025-07-07 09:16:18"""",    """"utcTime"""": """"2025-07-07 15:16:08.201806Z"""",    """"projectLanguageSelected"""": """"en-US"""",    """"timezone"""": """"CST"""",    """"appversion"""": """"2.3.5"""",    """"buildnumber"""": """"180"""",    """"configversion"""": """"1"""",    """"devicemodel"""": """"iPhone12,1"""",    """"percentComplete"""": """"10""""  }"",result.zip,0"
