record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,wear_log_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,wear_log_complete
UCRS032,wear_log,10,,,0,0,"2025-08-20 12:44",2,,,,0,"En una gaveta.",1,,,,,,,,,,,,AD4C3E80-7DF5-11F0-A884-338E2E99AC05,"2025-08-20 12:44:17","2025-08-20 12:45:33",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 12:45:33"",    ""utcTime"": ""2025-08-20 18:44:17.640091Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS032,wear_log,11,,,0,1,,,"2025-08-20 13:16",,,,,,,,,,,,,,,,,38533AC0-7DFA-11F0-A884-338E2E99AC05,"2025-08-20 13:16:48","2025-08-20 13:17:00",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 13:17:00"",    ""utcTime"": ""2025-08-20 19:16:48.876335Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,12,,,0,2,,,,"2025-08-20 23:00",,,,,,,,,,,,,,,,AD82C1C0-7E4B-11F0-ACB8-DD0C13285429,"2025-08-20 22:59:54","2025-08-20 23:00:17",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-20 23:00:17"",    ""utcTime"": ""2025-08-21 04:59:54.716321Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,13,,,0,1,,,"2025-08-21 05:38",,,,,,,,,,,,,,,,,66F4F330-7E83-11F0-808D-A7892110ADF8,"2025-08-21 05:38:48","2025-08-21 05:39:02",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-21 05:39:03"",    ""utcTime"": ""2025-08-21 11:38:48.162809Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,14,,,0,0,"2025-08-21 09:11",2,,,,0,"En una gaveta.",1,,,,,,,,,,,,1C0FFE50-7EA1-11F0-8827-D5131D530837,"2025-08-21 09:11:27","2025-08-21 09:12:07",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-21 09:12:07"",    ""utcTime"": ""2025-08-21 15:11:27.412248Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS032,wear_log,15,,,0,1,,,"2025-08-21 09:43",,,,,,,,,,,,,,,,,A9382CE0-7EA5-11F0-B6AB-016906276783,"2025-08-21 09:44:02","2025-08-21 09:44:14",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-21 09:44:14"",    ""utcTime"": ""2025-08-21 15:44:02.221199Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,16,,,0,2,,,,"2025-08-21 23:01",,,,,,,,,,,,,,,,1344C480-7F15-11F0-9850-D3D8CDB12B52,"2025-08-21 23:01:34","2025-08-21 23:01:51",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-21 23:01:51"",    ""utcTime"": ""2025-08-22 05:01:34.279588Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,17,,,0,1,,,"2025-08-22 05:32",,,,,,,,,,,,,,,,,B8DC85A0-7F4B-11F0-BB6E-0528A53A4D7A,"2025-08-22 05:32:44","2025-08-22 05:32:58",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-22 05:32:59"",    ""utcTime"": ""2025-08-22 11:32:44.921917Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
UCRS032,wear_log,18,,,0,0,"2025-08-22 07:19",0,,,,0,"En una gaveta.",1,,,,,,,,,,,,8EB8DF30-7F5A-11F0-AA2B-5DDCE904A7D6,"2025-08-22 07:18:56","2025-08-22 07:20:00",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-22 07:20:01"",    ""utcTime"": ""2025-08-22 13:18:56.674760Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""34""  }",result.zip,0
UCRS032,wear_log,19,,,0,1,,,"2025-08-22 08:02",,,,,,,,,,,,,,,,,9E4008B0-7F60-11F0-AA2B-5DDCE904A7D6,"2025-08-22 08:02:19","2025-08-22 08:02:31",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.6"",    ""syncdate"": ""2025-08-22 08:02:31"",    ""utcTime"": ""2025-08-22 14:02:19.707029Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""1"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""15""  }",result.zip,0
