record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,diario_de_exposicion_a_la_luz_timestamp,mhla_confirm_v2,mhlea_confidence_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,diario_de_exposicion_a_la_luz_complete
UCRS033,,,,,,,,,,,,,,
UCRS033,diario_de_exposicion_a_la_luz,1,,,1,4,FC2DCC30-7CB5-11F0-A9DB-2B3A0F42E9D7,"2025-08-18 22:35:51","2025-08-18 22:36:13",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""syncdate"": ""2025-08-18 22:36:14"",    ""utcTime"": ""2025-08-19 04:35:51.027367Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-G960U1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS033,diario_de_exposicion_a_la_luz,2,,,1,4,14964380-7D90-11F0-B1E1-4D7F99673E0F,"2025-08-20 00:37:02","2025-08-20 00:37:18",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""syncdate"": ""2025-08-20 00:37:18"",    ""utcTime"": ""2025-08-20 06:37:02.264594Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-G960U1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS033,diario_de_exposicion_a_la_luz,3,,,1,5,6706B2D0-7E49-11F0-B78D-7F5E95C91661,"2025-08-20 22:43:37","2025-08-20 22:43:52",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""syncdate"": ""2025-08-20 22:43:52"",    ""utcTime"": ""2025-08-21 04:43:37.469118Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-G960U1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS033,diario_de_exposicion_a_la_luz,4,,,1,5,E3E38D60-7F1F-11F0-9796-C398B9D061B2,"2025-08-22 00:18:59","2025-08-22 00:19:05",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""syncdate"": ""2025-08-22 00:19:05"",    ""utcTime"": ""2025-08-22 06:18:59.254451Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-G960U1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS033,diario_de_exposicion_a_la_luz,5,,,1,3,1EC7D130-7FE7-11F0-B76B-09EDD7036AF4,"2025-08-23 00:05:07","2025-08-23 00:05:20",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""syncdate"": ""2025-08-23 00:05:20"",    ""utcTime"": ""2025-08-23 06:05:07.907889Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-G960U1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS033,diario_de_exposicion_a_la_luz,6,,,1,4,D634AFC0-80AD-11F0-8FAE-7D6E46274650,"2025-08-23 23:47:35","2025-08-23 23:47:43",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""syncdate"": ""2025-08-23 23:47:44"",    ""utcTime"": ""2025-08-24 05:47:35.996018Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-G960U1"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS033,diario_de_exposicion_a_la_luz,7,,,1,4,5A8B4B00-816A-11F0-ABBD-9FF1C2FFFCD9,"2025-08-24 22:17:03","2025-08-24 22:17:17",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""10"",    ""syncdate"": ""2025-08-24 22:17:18"",    ""utcTime"": ""2025-08-25 04:17:03.408866Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.4.1"",    ""buildnumber"": ""185"",    ""configversion"": ""2"",    ""devicemodel"": ""SM-G960U1"",    ""percentComplete"": ""100""  }",result.zip,0
