record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,diario_de_exposicion_a_la_luz_timestamp,mhla_confirm_v2,mhlea_confidence_v2,uuid_v2,startdate_v2,enddate_v2,scheduledate_v2,status_v2,supplementaldata_v2,serializedresult_v2,diario_de_exposicion_a_la_luz_complete
UCRS034,,,,,,,,,,,,,,
UCRS034,diario_de_exposicion_a_la_luz,1,,,1,5,A26267E0-82F2-11F0-B44F-E3F4E26C54A5,"2025-08-26 21:05:06","2025-08-26 21:06:50",,1,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-08-26 21:06:50"",    ""utcTime"": ""2025-08-27 03:05:06.654711Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""moto g54 5G"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS034,diario_de_exposicion_a_la_luz,2,,,1,4,C30154A0-83BC-11F0-8590-EF148BF159D6,"2025-08-27 21:11:59","2025-08-27 21:12:16",,1,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-08-27 21:12:17"",    ""utcTime"": ""2025-08-28 03:11:59.722014Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""moto g54 5G"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS034,diario_de_exposicion_a_la_luz,3,,,1,5,6D883910-848B-11F0-8527-975DA4E08535,"2025-08-28 21:51:22","2025-08-28 21:51:40",,1,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-08-28 21:51:41"",    ""utcTime"": ""2025-08-29 03:51:22.145130Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""moto g54 5G"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS034,diario_de_exposicion_a_la_luz,4,,,1,5,2F1DB490-854C-11F0-B4D5-B58945C57347,"2025-08-29 20:51:10","2025-08-29 20:51:18",,1,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-08-29 20:51:19"",    ""utcTime"": ""2025-08-30 02:51:10.297661Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""moto g54 5G"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS034,diario_de_exposicion_a_la_luz,5,,,1,5,FFB51FD0-8619-11F0-AAE2-23847D856AC4,"2025-08-30 21:24:27","2025-08-30 21:24:37",,1,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-08-30 21:24:38"",    ""utcTime"": ""2025-08-31 03:24:27.085070Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""moto g54 5G"",    ""percentComplete"": ""100""  }",result.zip,0
UCRS034,diario_de_exposicion_a_la_luz,6,,,1,5,2442D2F0-86E4-11F0-8404-07C6D4A4A5F4,"2025-08-31 21:31:26","2025-08-31 21:31:59",,1,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-08-31 21:32:00"",    ""utcTime"": ""2025-09-01 03:31:26.751862Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""moto g54 5G"",    ""percentComplete"": ""100""  }",result.zip,0
